Title,Country,Date,Time,Impact,Forecast,Previous
BusinessNZ Services Index,NZD,09-18-2022,10:30pm,Low,,51.2
Bank Holiday,JPY,09-19-2022,12:00am,Holiday,,
Foreign Direct Investment ytd/y,CNY,09-19-2022,2:30am,Low,,17.3%
RBNZ Gov Orr Speaks,NZD,09-19-2022,3:00am,High,,
Bank Holiday,GBP,09-19-2022,8:00am,Holiday,,
German Buba Monthly Report,EUR,09-19-2022,10:00am,Low,,
IPPI m/m,CAD,09-19-2022,12:30pm,Low,-0.9%,-2.1%
RMPI m/m,CAD,09-19-2022,12:30pm,Low,3.2%,-7.4%
NAHB Housing Market Index,USD,09-19-2022,2:00pm,Low,47,49
National Core CPI y/y,JPY,09-19-2022,11:30pm,Low,2.7%,2.4%
Monetary Policy Meeting Minutes,AUD,09-20-2022,1:30am,High,,
Trade Balance,CHF,09-20-2022,6:00am,Low,,3.58B
German PPI m/m,EUR,09-20-2022,6:00am,Low,2.5%,5.3%
SECO Economic Forecasts,CHF,09-20-2022,7:00am,Low,,
Current Account,EUR,09-20-2022,8:00am,Low,5.3B,4.2B
CPI m/m,CAD,09-20-2022,12:30pm,High,-0.1%,0.1%
Common CPI y/y,CAD,09-20-2022,12:30pm,Medium,5.6%,5.5%
Trimmed CPI y/y,CAD,09-20-2022,12:30pm,Medium,5.5%,5.4%
Median CPI y/y,CAD,09-20-2022,12:30pm,Medium,5.1%,5.0%
Building Permits,USD,09-20-2022,12:30pm,Low,1.60M,1.67M
Housing Starts,USD,09-20-2022,12:30pm,Low,1.45M,1.45M
Core CPI m/m,CAD,09-20-2022,12:32pm,Low,,0.5%
GDT Price Index,NZD,09-20-2022,2:40pm,Low,,4.9%
ECB President Lagarde Speaks,EUR,09-20-2022,5:00pm,Medium,,
Gov Council Member Beaudry Speaks,CAD,09-20-2022,7:30pm,Low,,
MI Leading Index m/m,AUD,09-21-2022,12:30am,Low,,-0.2%
RBA Deputy Gov Bullock Speaks,AUD,09-21-2022,2:00am,Low,,
Credit Card Spending y/y,NZD,09-21-2022,3:00am,Low,,4.9%
Public Sector Net Borrowing,GBP,09-21-2022,6:00am,Low,8.2B,4.2B
German 10-y Bond Auction,EUR,09-21-2022,9:34am,Low,,1.33|1.6
CBI Industrial Order Expectations,GBP,09-21-2022,10:00am,Low,-13,-7
Existing Home Sales,USD,09-21-2022,2:00pm,Medium,4.69M,4.81M
Crude Oil Inventories,USD,09-21-2022,2:30pm,Low,2.0M,2.4M
CB Leading Index m/m,AUD,09-21-2022,2:30pm,Low,,0.3%
FOMC Statement,USD,09-21-2022,6:00pm,High,,
Federal Funds Rate,USD,09-21-2022,6:00pm,High,3.25%,2.50%
FOMC Economic Projections,USD,09-21-2022,6:00pm,High,,
FOMC Press Conference,USD,09-21-2022,6:30pm,High,,
Westpac Consumer Sentiment,NZD,09-21-2022,8:54pm,Low,,78.7
Trade Balance,NZD,09-21-2022,10:45pm,Low,-500M,-1092M
BOJ Policy Rate,JPY,09-22-2022,2:51am,Low,-0.10%,-0.10%
Monetary Policy Statement,JPY,09-22-2022,2:51am,High,,
BOJ Core CPI y/y,JPY,09-22-2022,5:00am,Low,1.9%,1.8%
BOJ Press Conference,JPY,09-22-2022,6:30am,High,,
SNB Monetary Policy Assessment,CHF,09-22-2022,7:30am,High,,
SNB Policy Rate,CHF,09-22-2022,7:30am,High,0.50%,-0.25%
SNB Press Conference,CHF,09-22-2022,8:00am,High,,
ECB Economic Bulletin,EUR,09-22-2022,8:00am,Low,,
Official Bank Rate,GBP,09-22-2022,11:00am,High,2.25%,1.75%
Monetary Policy Summary,GBP,09-22-2022,11:00am,High,,
MPC Official Bank Rate Votes,GBP,09-22-2022,11:00am,High,9-0-0,9-0-0
Unemployment Claims,USD,09-22-2022,12:30pm,Medium,220K,213K
NHPI m/m,CAD,09-22-2022,12:30pm,Low,0.1%,0.1%
Current Account,USD,09-22-2022,12:30pm,Low,-261B,-291B
CB Leading Index m/m,USD,09-22-2022,2:00pm,Low,-0.1%,-0.4%
Consumer Confidence,EUR,09-22-2022,2:00pm,Low,-26,-25
Natural Gas Storage,USD,09-22-2022,2:30pm,Low,97B,77B
MPC Member Tenreyro Speaks,GBP,09-22-2022,3:00pm,Low,,
MPC Member Haskel Speaks,GBP,09-22-2022,6:30pm,Low,,
Flash Manufacturing PMI,AUD,09-22-2022,11:00pm,Low,,54.5
Flash Services PMI,AUD,09-22-2022,11:00pm,Low,,49.6
GfK Consumer Confidence,GBP,09-22-2022,11:01pm,Low,-42,-44
Bank Holiday,JPY,09-23-2022,12:00am,Holiday,,
French Flash Manufacturing PMI,EUR,09-23-2022,7:15am,Medium,49.8,49.0
French Flash Services PMI,EUR,09-23-2022,7:15am,High,50.5,51.0
German Flash Manufacturing PMI,EUR,09-23-2022,7:30am,High,48.3,49.8
German Flash Services PMI,EUR,09-23-2022,7:30am,High,47.2,48.2
Flash Manufacturing PMI,EUR,09-23-2022,8:00am,Low,48.7,49.7
Flash Services PMI,EUR,09-23-2022,8:00am,Low,49.1,50.2
Flash Services PMI,GBP,09-23-2022,8:30am,High,49.9,52.5
Flash Manufacturing PMI,GBP,09-23-2022,8:30am,High,47.4,46.0
CBI Realized Sales,GBP,09-23-2022,10:00am,Low,9,37
Core Retail Sales m/m,CAD,09-23-2022,12:30pm,Medium,-1.0%,0.8%
Retail Sales m/m,CAD,09-23-2022,12:30pm,Medium,-2.0%,1.1%
Flash Services PMI,USD,09-23-2022,1:45pm,High,45.5,44.1
Flash Manufacturing PMI,USD,09-23-2022,1:45pm,Medium,51.0,51.3
German Buba President Nagel Speaks,EUR,09-23-2022,3:30pm,Low,,
SNB Chairman Jordan Speaks,CHF,09-23-2022,3:30pm,Medium,,
Fed Chair Powell Speaks,USD,09-23-2022,6:00pm,High,,
Daylight Saving Time Shift,NZD,09-24-2022,2:00pm,Holiday,,